entity,target_lang,translation
Edward IV,it,Edoardo IV d'Inghilterra
England,it,Inghilterra
The Creation,it,The Creation
The Big Knife,it,Il grande coltello
Symphony No. 1,it,prima sinfonia
One Ring,it,Unico Anello
War of the Ring,it,Guerra dell'Anello
Marya Bolkonskaya,it,Mar'ja Bolkonskaja
Andrei,it,Andrei
My Summer in Provence,it,Un'estate in Provenza
Russia,it,Russia
Mexican,it,Messico
The Child in Time,it,Bambini nel tempo
Justice League Watchtower,it,Torre di Guardia della Justice League of America
poppyseed oil,it,olio di semi di papavero
Catherine of Braganza,it,Caterina di Braganza
Braganza,it,Braganza
Rasmus Klump,it,Petzi
Ostankino Tower,it,torre di Ostankino
Moscow,it,Mosca
Men or Not Men,it,Uomini e no
The Festival of Insignificance,it,La Festa dell'insignificanza
Angels & Demons,it,Angeli e demoni
Tokyo Tower,it,Torre di Tokyo
Wonder Woman,it,Wonder Woman
Symphony No. 14,it,Sinfonia n. 14
Dmitri Shostakovich,it,Dmitrij Šostakovič
Cathedral of Christ the Saviour,it,cattedrale di Cristo Salvatore
All About My Mom,it,"Butakhae-yo, eomma"
Bullet Bill,it,Pallottolo Bill
Mario,it,Mario
A Moveable Feast,it,Festa mobile
Poseidon,it,Poseidone
Hurrian,it,hurrita
Hand of Glory,it,Mano della Gloria
Edward VII,it,Edoardo VII del Regno Unito
United Kingdom,it,Regno Unito
Byzantine,it,greco bizantino
Pluto,it,Pluto
Blue Note,it,Blue Note
Pluto's Blue Note,it,Pluto canterino
Piano Concerto No. 2,it,Concerto per pianoforte e orchestra n. 2
Pyotr Ilyich Tchaikovsky,it,Pëtr Il'ič Čajkovskij
Symphony No. 2,it,Sinfonia n. 2
Jean Sibelius,it,Jean Sibelius
Potter,it,Potter
Harry Potter,it,Harry Potter
Priory of Sion,it,Priorato di Sion
Saimdang,it,"Saimdang, bich-ui ilgi"
We Should All Be Feminists,it,We Should All Be Feminists
Symphony No. 3,it,Sinfonia n. 3
Vyborg Castle,it,Fortezza di Vyborg
John,it,John
John XVII,it,papa Giovanni XVII
Mother and Son,it,Mother and Son
XIII: The Conspiracy,it,XIII - Il complotto
The Man Who Came to Dinner,it,Il signore resta a pranzo
Symphony No. 41,it,Sinfonia n. 41
Father Time,it,Padre Tempo
Popeye and Son,it,Che papà Braccio di Ferro
Popeye,it,Braccio di Ferro
Stephen VII,it,papa Stefano VII
Sokolniki Park,it,Parco Sokol'niki
Piano Concerto No. 5,it,Concerto per pianoforte e orchestra n. 5
Raphael,it,Raphael
Portrait of a Young Man,it,ritratto di giovane
Lothair,it,Lothair
France,it,Francia
Lothair of France,it,Lotario IV
Cathedral of the Nativity,it,Cathedral of the Nativity
Suzdal,it,Suzdal'
pink peppercorns,it,pink peppercorns
black peppercorns,it,black peppercorns
pink peppercorn,it,pepe rosa
House of Wonders,it,Palazzo delle Meraviglie
Stone Town,it,Stone Town
Grauballe Man,it,Uomo di Grauballe
Gloucester Cathedral,it,cattedrale di Gloucester
Endor,it,Terra di Mezzo
Star Wars,it,Guerre stellari
Battle of Endor,it,battaglia di Endor
Great Synagogue,it,sinagoga maggiore
Grodno,it,Hrodna
The Runaway Jury,it,La giuria
Care Bears & Cousins,it,Gli orsetti del cuore e i loro cugini
Care Bears,it,Care Bears
Care Bears series,it,Care Bears series
Listen to Love,it,"Ibeon ju, anaega baram-eul pibnida"
Hey Arnold!,it,Hey
American,it,inglese americano
Templul Coral,it,tempio corale di Bucarest
Bucharest,it,Bucarest
Innocent Defendant,it,Pigo-in
South Korean,it,nazionale di calcio della Corea del Sud
Welsh,it,gallese
Welsh onion,it,cipolla d'inverno
San Giovanni in Fiore Abbey,it,abbazia Florense
"Piano Sonata No. 2 in B-flat minor, Op. 35",it,Sonata per pianoforte n. 2 op. 35
Piano Sonata No. 2 in B-flat minor,it,Sonata per pianoforte n. 2 op. 35
Piano Sonata No. 2,it,Sonata per pianoforte n. 2
B-flat minor,it,Si bemolle minore
Op. 35,it,Op. 3513
Land of Oz,it,Paese di Oz
St Anne's Cathedral,it,Cattedrale di Sant'Anna (Belfast)
Belfast,it,Belfast
Mon Colle Knights,it,I cavalieri di Mon
Landgravine Amalie of Hesse-Homburg,it,Amalia d'Assia-Homburg
Hesse-Homburg,it,Assia-Homburg
Landgravine Amalie,it,Amelia Frederica di Assia-Darmstadt
Atlantic mackerel,it,scombro
Saint Sophia Cathedral,it,cattedrale di Santa Sofia
Novgorod,it,Velikij Novgorod
Basilica of Our Lady of Guadalupe,it,basilica di Nostra Signora di Guadalupe
Pat the Dog,it,Paf il cane
Asterix and the Chariot Race,it,Asterix e la corsa d'Italia
Johann I Joseph,it,Giovanni I Giuseppe del Liechtenstein
Liechtenstein,it,Liechtenstein
Free Kick Toward Tomorrow,it,Forza campioni
The Mighty Hercules,it,L'invincibile Ercole
Sinbad,it,Sinbad
Son of Sinbad,it,Il figlio di Sinbad
Free Men,it,Les Hommes libres
Sergei Sobolev,it,Sergej L'vovič Sobolev
Liberty Legion,it,Legione della Libertà
Fécamp Abbey,it,abbazia della Trinità di Fécamp
Abbey of Saint-Germain-des-Prés,it,abbazia di Saint-Germain-des-Prés
Saint-Germain-des-Prés,it,Saint-Germain-des-Prés
Eibingen Abbey,it,Abbazia di Santa Ildegarda
Old Synagogue,it,ex sinagoga
Kraków,it,Cracovia
A Month in the Country,it,Un mese in campagna
Sisters of The Sea,it,Jamaebada
Heroes of Lallor,it,Eroi di Lallor
War of the Usurper,it,Guerra dell'usurpatore
A Song of Ice and Fire,it,Cronache del ghiaccio e del fuoco
Usurper,it,usurpatore
Captain Tsubasa: Road to 2002,it,Holly e Benji Forever
The Hound,it,Sandor Clegane
An Angel's Tactics – Fragments of a Dream,it,Lupin III - Le tattiche degli angeli
Lost in the Wild,it,Lost in the Wild
Independence Monument,it,Independence Monument
Kyiv,it,Kiev
Ukraine,it,Ucraina
Superman Revenge Squad,it,Squadra di Vendetta su Superman
Yelokhovo Cathedral,it,cattedrale dell'Epifania in Elochovo
Australian,it,Australian Journal of Chemistry
Australian television series,it,Australian television series
Beyond Tomorrow,it,Al di là del domani
Plan of Saint Gall,it,Pianta di San Gallo
Pavilion No. 58,it,Padiglione ucraino della VDNCh
VDNKh,it,Esposizione delle conquiste dell'economia nazionale
Prince Wilhelm,it,Guglielmo di Wied
Södermanland,it,Södermanland
The Legacy,it,The Legacy
Infinity Gauntlet,it,Gemme dell'Infinito
Infinity Stones,it,Gemme dell'Infinito
Marvel Comics universe,it,Universo Marvel
croton oil,it,Olio di Crotone (Crotone tiglium)
The Seven Dials Mystery,it,I sette quadranti
Of Mice and Men,it,Uomini e topi
The Neverending Story,it,The NeverEnding Story
The Anatomy of Melancholy,it,L'anatomia della malinconia
Three Sisters,it,Tre sorelle
Anton Chekhov,it,Anton Pavlovič Čechov
Forbidden Passions,it,Pasión prohibida
Stairway to Heaven,it,Stairway to Heaven
Barnyard Dawg,it,George P. Dog
From Father to Daughter,it,Di padre in figlia
Couple or Trouble,it,Hwansang-ui couple
Song to the Sun,it,Taiyo no Uta
Lichfield Cathedral,it,cattedrale di Lichfield
Staffordshire,it,Staffordshire
corn fritters,it,corn fritters
corn fritter,it,frittata di mais
1968,it,1968
Romeo and Juliet,it,Romeo and Juliet
Franco Zeffirelli,it,Franco Zeffirelli
Bebenhausen Abbey,it,abbazia di Bebenhausen
Wells Cathedral,it,cattedrale di Wells
Grand Duke George Mikhailovich,it,Georgij Michajlovič Romanov
Waltz No. 7,it,Valzer op. 64 n. 2
C-sharp minor,it,Do diesis minore
Op. 64,it,Sinfonietta
No. 2,it,No. 2
Queen Louise,it,Queen Louise
bridge,it,ponte
Queen Louise bridge,it,Ponte della regina Luisa
War of Wrath,it,Guerra d'Ira
Middle-earth,it,Terra di Mezzo
Cathedral of Saint Demetrius,it,cattedrale di San Demetrio
Saint Demetrius,it,Saint Demetrius
Thodoros Angelopoulos,it,Theo Aggelopoulos
Greek,it,alfabeto greco
Phantom of Heilbronn,it,Fantasma di Heilbronn
Heilbronn,it,Heilbronn
The Good Person of Szechwan,it,L'anima buona di Sezuan
Szechwan,it,Sichuan
We Are the Wave,it,Noi siamo l'onda
Leonard of Noblac,it,Leonardo di Noblac
Ben Farès Mosque,it,Grande sinagoga di Algeri
Princess Charlotte,it,Carlotta di Hannover
Prussia,it,Regno di Prussia
Laleli Mosque,it,moschea di Laleli
Turkey,it,Turchia
Alex Hrdlicka,it,Aleš Hrdlička
Naumburg Cathedral,it,cattedrale di Naumburg
Germany,it,Germania
Ms Fisher's,it,I casi della giovane Miss Fisher
Ms Fisher's MODern Murder Mysteries,it,I casi della giovane Miss Fisher
Sucevița Monastery,it,Monastero di Sucevița
universal translator,it,Traduttore universale
Beloved Infidel,it,Adorabile infedele
Rupert II,it,Roberto II del Palatinato
Elector Palatine,it,Carlo I Luigi del Palatinato
Sweden,it,Svezia
Şehzade Mosque,it,moschea di Sehzade
The House of Mirth,it,La casa della gioia
The Golden Bough,it,Il ramo d'oro
Legion of Substitute Heroes,it,Legione degli Eroi Sostituti
DC Comics,it,DC Comics
Shukhov Tower,it,torre Šuchov
financial adviser,it,agente di cambio
Armenian Cathedral,it,Cattedrale armena
Lviv,it,Leopoli
The Distinguished Gentleman,it,Il distinto gentiluomo
His Last Bow,it,L'ultimo saluto. Un epilogo.
Great Mosque of Gaza,it,Grande Moschea di Gaza
Gaza,it,Gaza
Till Eulenspiegel,it,Till Eulenspiegel
white chocolate,it,cioccolato bianco
milk chocolate,it,cioccolato al latte
dark chocolate,it,cioccolato fondente
blue cheese,it,formaggio a pasta erborinata
Appointment with Death,it,La domatrice
Dohány Street Synagogue,it,Grande Sinagoga di Budapest
Budapest,it,Budapest
Hungary,it,Ungheria
The Blue Lotus,it,Il Loto Blu
Graham,it,Graham
Alvin and the Chipmunks,it,Alvin and the Chipmunks
Chapel of the Ascension,it,chiesa dell'Ascensione
Jerusalem,it,Gerusalemme
The Prince Who Turns into a Frog,it,Wángzǐ biàn qīngwā
House Atreides,it,Dune: House Atreides
Dune universe,it,universo di Dune
Trump,it,Donald Trump
National Flag Memorial,it,Monumento nazionale alla Bandiera
Argentina,it,Argentina
Imam Ali Mosque,it,moschea dell'Imam 'Ali
The Firebird,it,L'uccello di fuoco
Maiden's Tower,it,Torre di Leandro
Bosphorus,it,Bosforo
A Connecticut Yankee in King Arthur's Court,it,Un americano alla corte di re Artù
Xeropotamou Monastery,it,Monastero di Xeropotamou
The Hatter,it,Cappellaio Matto
Alice in Wonderland,it,Alice nel paese delle pornomeraviglie
text file,it,file di testo
computer files,it,computer files
The Pirates of Dark Water,it,The Pirates of Dark Water
Symphonies of Wind Instruments,it,Sinfonie di strumenti a fiato
Igor Stravinsky,it,Igor' Fëdorovič Stravinskij
Mosque of Ibn Tulun,it,Moschea di Ahmad ibn Tulun
Ibn Tulun,it,Ahmad ibn Tulun
Forever Peace,it,Forever Peace
Francisca Christina,it,Francesca Cristina del Palatinato-Sulzbach
Pfalz-Sulzbach,it,Palatinato-Sulzbach
Otto-William,it,Ottone I Guglielmo di Borgogna
Count of Burgundy,it,Count of Burgundy
Prince Charming,it,Principe Azzurro
Shrek,it,Shrek
Shrek series,it,Shrek series
Dogtanian and the Three Muskehounds,it,D'Artacan
muskehounds,it,muskehounds
Dogtanian,it,Dogtanian
White Lantern Corps,it,Corpo delle Lanterne Bianche
Junior Woodchucks,it,Giovani Marmotte
Semyon Krivoshein,it,Semën Krivošein
The Revolt of the Masses,it,La ribellione delle masse
Our Lady of Joy Abbey,it,abbazia della Madonna della gioia
Emperor Ai,it,Ai Di
Tang,it,dinastia Tang
Emperor Ai of Tang,it,Ai Di
A Promised Land,ar,الأرض الموعودة
How to Train Your Dragon 2,ar,كيف تروض تنينك 2
Belgian,ar,قائمة الأنواع البلجيكية
Tintin,ar,Tintin
The Adventures of Tintin,ar,مغامرات تان تان
Helsinki Central Railway Station,ar,محطة قطارات هلسنكي المركزية
Helsinki,ar,هلسنكي
Taxi Driver,ar,سائق سيارة أجرة
South Korean,ar,منتخب كوريا الجنوبية لكرة القدم
Yasunari Kawabata,ar,ياسوناري كواباتا
The Old Capital,ar,العاصمة القديمة
egg,ar,خصية
boiled egg,ar,بيض مسلوق
Heirs to the Land,ar,ورثة الأرض
Spanish,ar,الإسبانية
The Valet,ar,الخادم
"Love, Reason, Get Even",ar,حب منطق انتقام
Dug Days,ar,يوميات داغ
Tom and Jerry: The Movie,ar,توم وجيري: الفيلم
Tom and Jerry,ar,Tom and Jerry
The Movie,ar,قاعدة بيانات الفيلم
The Island of Dr. Moreau,ar,The Island of Dr. Moreau
Rescued by Ruby,ar,روبي في الإنقاذ
Polar Bear,ar,دب قطبي
A Tale of Love and Darkness,ar,قصة عن الحب والظلام
Krue Sae Mosque,ar,مسجد كرو سي
Gračanica,ar,غراتسانيتسا
Gračanica monastery,ar,دير غراتشانيكا
Elegant Yokai Apartment Life,ar,الحياة الرائعة في شقة اليوكاي
The Whisperer in Darkness,ar,الهامس في الظلام
Sigmund Freud,ar,سيغموند فرويد
The Future of an Illusion,ar,مستقبل الوهم
Before and After,ar,قبل وبعد
Empire of the Ants,ar,Empire of the Ants
Bernard Werber,ar,برنارد فيربير
Breaker Morant,ar,مورانت القاطع
The Happy Prince,ar,الأمير السعيد
rolled oats,ar,الشوفان المطحون
The Men of Angelos,ar,أصحاب الكهف
Mosque of the Andalusians,ar,مسجد الأندلسيين
Morocco,ar,المغرب
Siraa fil Nil,ar,Siraa fil Nil
Youssef El Sherif,ar,يوسف الشريف
Pale Fire,ar,نار شاحبة
Mount of Olives,ar,جبل الزيتون
Jewish Cemetery,ar,مقبرة يهودية
Jewish community,ar,يهود
The Bridge on the Drina,ar,جسر على نهر درينا
My Three Sons,ar,أبنائي الثلاثة
Dragon Ball Z: The Tree of Might,ar,دراغون بول زد : شجرة القوة
Dragon Ball Z,ar,دراغون بول زد
hemp milk,ar,حليب القنب
The Lord of the Rings: The Return of the King,ar,سيد الخواتم: عودة الملك
Alfie Atkins,ar,ألفي أتكينز
Gunilla Bergström,ar,غونيلا بيرغستروم
20th-century,ar,القرن 20
John,ar,جون
Orphanotrophos,ar,Orphanotrophos
First Cemetery of Athens,ar,مقبرة أثينا الأولى
Athens,ar,أثينا
Essalam Mosque,ar,مسجد السلام
Rotterdam,ar,روتردام
Istanbul Fethi Mosque,ar,Istanbul Fethi Mosque
Turkey,ar,تركيا
The Captain's Daughter,ar,ابنة الضابط
Jameh Mosque of Yazd,ar,جامع يزد
Yazd,ar,يزد
Iran,ar,إيران
Dead Sea scrolls,ar,مخطوطات البحر الميت
Dead Sea scrolls collection,ar,Dead Sea scrolls collection
Zewditu I,ar,زيوديتو
Ethiopia,ar,إثيوبيا
The Legend of Prince Valiant,ar,مغامرات باسل
Little Mosque on the Prairie,ar,مسجد صغير على المرج
Hüdavendigar Mosque,ar,جامع خداوندكار
Mosque of al-Zahir Baybars,ar,جامع الظاهر بيبرس
al-Zahir Baybars,ar,الظاهر بيبرس
Father Brown,ar,Father Brown
Great Mosque of Brussels,ar,المسجد الكبير
Brussels,ar,مدينة بروكسل
Najiaying Mosque,ar,مسجد ناجياينغ
Penguins of Madagascar,ar,بطاريق مدغشقر
BBC,ar,بي بي سي
BBC Sports Personality of the Year,ar,شخصية بي بي سي الرياضية للعام
Green Knight,ar,الفارس الأخضر
Arthurian tales,ar,Arthurian tales
King Arthur,ar,King Arthur
War and Peace,ar,الحرب والسلم
Knights of the Round Table,ar,فرسان المائدة المستديرة
Arthurian romance,ar,رومانسية آرثر
artwork,ar,عمل فني
paradox,ar,مفارقة
art,ar,أرت
Monarch,ar,عاهل
Tallac,ar,Tallac
Japanese,ar,اليابانية
Monarch: The Big Bear of Tallac,ar,لوز وسكر
Dong Phayayen-Khao Yai Forest Complex,ar,مجمع دونغ فايايين كاو ياي الحرجي
UNESCO,ar,يونسكو
World Heritage Site,ar,موقع تراث عالمي
Muradiye Mosque,ar,مسجد مرادية
The Princess and the Queen,ar,الأميرة والملكة
George R. R. Martin,ar,جورج ر. ر. مارتن
Juana I of Castile,ar,خوانا الأولى
chocolate liquor,ar,كتلة الكاكاو
chocolate liqueur,ar,chocolate liqueur
Bulgaria,ar,بلغاريا
Book of the Dead,ar,Book of the Dead
Revelation Space,ar,Revelation Space
Virtual Reality Modeling Language,ar,لغة نمذجة الواقع الافتراضي
Shalmaneser IV,ar,شلمنصر الرابع
Dandelion Wine,ar,نبيذ الهندباء البرية
Life of Adam and Eve,ar,حياة آدم وحواء
Angels & Demons,ar,ملائكة وشياطين
Webster's Dictionary,ar,قاموس ويبستر
Shrine of Bahá'u'lláh,ar,ضريح بهاء الله
Yaroslav the Wise,ar,ياروسلاف الحكيم
Rus',ar,روتينيا
Brave New World,ar,عالم جديد شجاع
Quidditch Through the Ages,ar,كويدتش عبر العصور
Minaret of Jam,ar,مئذنة جام
mustard seeds,ar,mustard seeds
My Life as a Zucchini,ar,حياتي مثل كوسى
National Academy of Sciences of Belarus,ar,الأكاديمية الوطنية للعلوم في بيلاروسيا
Belarus,ar,بيلاروس
Yeshua Ha-Notsri,ar,يشوع الغناصري
The Master and Margarita,ar,المعلم ومارغريتا
Leo Tolstoy,ar,ليو تولستوي
The Two Brothers and the Gold,ar,الأخوان والذهب (قصة قصيرة)
Nanning,ar,Nanning
Nanning Mosque,ar,مسجد نانينغ
Minor Mosque,ar,مسجد منار
The Flintstones,ar,The Flintstones
White Monastery,ar,الدير الأبيض
The New Addams Family,ar,عائلة آدمز الجديدة (مسلسل 1998)
Bishop Myriel,ar,الأسقف ميريل
Les Misérables,ar,البؤساء
Taganka Theatre,ar,مسرح تغانكا
Friday Mosque of Shamakhi,ar,مسجد الجمعة في شماخى
Shamakhi,ar,شماخى
Azerbaijani,ar,الأذرية
Fill the Void,ar,ملئ الفراغ
Monastery of St. Elian,ar,دير مار إليان
Syria,ar,سوريا
War's Unwomanly Face,ar,ليس للحرب وجه أنثوي
1812 Overture,ar,افتتاحية 1812
Dome of the Chain,ar,قبة السلسلة
Dome of the Rock,ar,قبة الصخرة
Jerusalem,ar,القدس
Umi yori mo Mada Fukaku,ar,بعد العاصفة
Cluny Abbey,ar,دير كلوني
Cluny,ar,كلوني
Carlos the Jackal,ar,كارلوس الثعلب
The Royal Gambler,ar,الفوز بالجائزة الكبرى
The New Avengers,ar,المنتقمون الجدد
Marvel Comics,ar,مارفل كومكس
Avengers,ar,المنتقمون
Android 18,ar,أندرويد 18
Krillin,ar,كوريرن
Dragon Ball,ar,دراغون بول
The Jungle Book,ar,كتاب الأدغال
Finnish Maiden,ar,الفتاة الفنلندية
Finland,ar,فنلندا
Finnish,ar,الفنلندية
Princess Märtha,ar,الأميرة مارتا من السويد
Sweden,ar,السويد
Constance of León,ar,كونستانس من قشتالة، ملكة فرنسا
León,ar,ليون
France,ar,فرنسا
Don Chuck Monogatari,ar,سنان
Princess Irene,ar,أميرة هولندا إيرين
Aosta,ar,أغشت
The White Sister,ar,The White Sister
Mopti Grand Mosque,ar,مسجد موبتي الكبير
The Tall Men,ar,رجل طويل
Diary of a Wimpy Kid: Double Down,ar,مذكرات طالب: الخطة الفاشلة
Zürich,ar,زيورخ
Into the Wild,ar,إلى البرية
The Drowned World,ar,العالم الغريق
Spring Awakening,ar,Spring Awakening
The Adventures of the Little Prince,ar,الرحالة الصغير
Kefeli Mosque,ar,جامع كفوي
Cossack Mamay,ar,كوساك ماماي
Ukrainian art,ar,فنون أوكرانيا
Ukrainian literature,ar,أدب أوكراني
Ukrainian,ar,الأوكرانية
Time for the Stars,ar,وقت النجوم
The Runaway Jury,ar,هيئة المحلفين الهاربة
Shards of Honor,ar,شظايا الشرف
Zimbabwe,ar,زيمبابوي
ship's bell,ar,جرس سفينة
Abbey of Saint-Remi,ar,دير القديس ريمي
Marne,ar,المَرْن
Cloudy with a Chance of Meatballs: The Series,ar,يوم غائم مع فرصة للحصول على كرات اللحم
Canadian-American,ar,Canadian-American
The Last Battle,ar,The Last Battle
Serendipity the Pink Dragon,ar,ميمونة ومسعود
Serendipity,ar,سرنديبية
fashion designer,ar,مصمم أزياء
fashion design,ar,تصميم أزياء
The Three Musketeers,ar,The Three Musketeers
The Mask of Zorro,ar,The Mask of Zorro
Al-Rifa'i Mosque,ar,مسجد الرفاعي
Senakhtenre Ahmose,ar,سقنن رع تاعا الأول
Egypt,ar,مصر
Ray Bradbury,ar,راي برادبري
Green Shadows,ar,Green Shadows
White Whale,ar,حوت أبيض
"Green Shadows, White Whale",ar,"Green Shadows, White Whale"
Mar Elias Monastery,ar,دير مار إلياس
The Taming of the Shrew,ar,ترويض النمرة
Everybody Hates Chris,ar,كل شخص يكره كريس
Abu Hanifa Mosque,ar,جامع الإمام الأعظم
corn starch,ar,نشا الذرة
Francis II,ar,فرانتس الثاني إمبراطور الروماني المقدس
Brittany,ar,بريتاني
peppermint oil,ar,زيت النعناع
Adina Mosque,ar,مسجد أدينا
Born Yesterday,ar,ولدوا بالأمس
The Stone Sky,ar,The Stone Sky
Acts of the Apostles,ar,سفر أعمال الرسل
Kazan Cathedral,ar,كاتدرائية كازان، سانت بطرسبرغ
Banu Goshasp,ar,بانو كشسب بنت رستم
Banu Goshasp Nama,ar,بانوكشسب نامة
Derbent Wall,ar,حصون دربند
Men Without Women,ar,Men Without Women
Abdullah ibn Saad,ar,عبد الله بن سعد بن أبي السرح
Rebel Without a Cause,ar,متمرد بلا سبب
Love,ar,حب
Reason,ar,سبب
Get Even,ar,Get Even
Jewish,ar,يهود
John the Orphanotrophos,ar,يوحنا أورفانوتروفوس
Juana I,ar,خوانا الأولى
Castile,ar,تاج قشتالة
Canadian,ar,Canadian
American,ar,الإنجليزية الأمريكية
Daowai Mosque,ar,مسجد الداواي
Heilongjiang,ar,هيلونغجيانغ
Kalyan Minaret,ar,منارة كاليان
Kara-khanid,ar,الدولة القراخانيّة
Assembly,ar,لغة تجميع
Boris Shchukin Theatre Institute,ar,المؤسسة المسرحية لبوريس شوكين
The Neverending Story,ar,The Neverending Story
A Day's Wait,ar,يوم من الانتظار
Ernest Hemingway,ar,إرنست همينغوي
rose hips,ar,وردة المسك
The Secret Garden,ar,الحديقة السرية
Maya Angelou,ar,مايا أنجيلو
And Still I Rise,ar,ومازلت أشرق
A Princess of Mars,ar,أميرة المريخ
Shaun the Sheep TV series,ar,Shaun the Sheep TV series
Shaun the Sheep,ar,الخروف شون
Forbidden Passions,ar,العاطفة المحرمة
Bussa Emancipation Statue,ar,تمثال بوسا للتحرر
The Candidate,ar,المرشح
Sultan Mehmet Fatih Mosque,ar,Sultan Mehmet Fatih Mosque
Pristina,ar,بريشتينا
Wells Cathedral,ar,كاتدرائية ولز
Wells,ar,ولز
Dharma Initiative,ar,دارما إنيشيتيف
Gustaf V,ar,Gustaf V
Moscow,ar,موسكو
Moscow Does Not Believe in Tears,ar,موسكو لا تؤمن بالدموع
John I,ar,جون اريلاند
Fortunes of War,ar,Fortunes of War
Great Mosque of al-Nuri,ar,الجامع الكبير النوري
Office of the President of Ukraine,ar,مكتب رئيس أوكرانيا
Ukraine,ar,أوكرانيا
Office of the President,ar,مكتب رئيس أوكرانيا
Garfield and Friends,ar,غارفيلد والأصدقاء
The Waste Land,ar,The Waste Land
T.S. Eliot,ar,ت. س. إليوت
Tinker Tailor Soldier Spy,ar,السمكري الخياط الجندي الجاسوس
Jack's Big Music Show,ar,جاك والعرض الموسيقي الكبير
Jack,ar,جاك
Philip I,ar,فيليب الأول
the Franks,ar,the Franks
Philip I of France,ar,فيليب الأول ملك فرنسا
The Lord of the Rings: The Rings of Power,ar,سيد الخواتم: خواتم السلطة
The Lord of the Rings,ar,سيد الخواتم
The Rings of Power,ar,سيد الخواتم: خواتم السلطة
Momma's Boys,ar,Momma's Boys
The Light in Your Eyes,ar,النور في عينيك
South Korea,ar,كوريا الجنوبية
pumpkin,ar,يقطين
The Way Of The Bees,ar,طريق النحل
Habibi Neccar Mosque,ar,Habibi Neccar Mosque
Antakya,ar,أنطاكية
Habib'i Neccar Mosque,ar,مسجد حبيب النجار
Hatay Province,ar,ولاية حطاي
apple,ar,أبل
